title,release_date,rating,imdb_id,tmbd_id,runtime,genres,budget,revenue
Boarding School,2018-08-30,R,tt6224502,531145,111.0,"[['Horror', 'Mystery']]",0,0
Darkness Visible,2019-02-08,R,tt5692786,531084,107.0,"[['Horror', 'Thriller']]",0,0
LEGO House – Home of the Brick,2018-06-15,G,tt8726442,531002,47.0,[['Documentary']],0,0
All Day and a Night,2020-05-01,R,tt3993886,530956,121.0,[['Drama']],0,0
Elvis Presley: Gladiators,2010-01-05,PG,,530738,49.0,[['Documentary']],0,0
Sea Monsters,2017-01-01,G,tt7073350,530471,72.0,"[['Animation', 'Family']]",0,0
American Chaos,2018-09-14,R,tt8420442,530454,90.0,[['Documentary']],0,0
In the Shadow of the Moon,2019-09-27,R,tt8110640,530382,115.0,"[['Mystery', 'Science Fiction', 'Thriller']]",0,0
WWE Network Collection: DX - Are You Ready?,2016-04-02,PG,,530145,297.0,[['Documentary']],0,0
Ghost Cop,2017-10-31,PG,,530144,9.0,"[['Comedy', 'Crime', 'Mystery']]",1000,0
Corporate Animals,2019-09-20,R,tt8366502,530076,86.0,"[['Comedy', 'Horror']]",0,0
Asher,2018-12-07,R,tt6131450,529982,117.0,"[['Thriller', 'Action', 'Drama']]",0,0
Benched,2018-08-17,PG,tt4779344,529694,110.0,"[['Comedy', 'Drama']]",0,0
The Row,2018-07-27,R,tt8074486,529649,85.0,"[['Thriller', 'Horror']]",0,0
No Postage Necessary,2018-07-06,PG-13,tt5988216,529573,104.0,"[['Comedy', 'Drama']]",0,0
SHINE 1,2012-07-20,PG,,529500,91.0,[['Action']],0,0
Of Shark And Man,2017-06-29,PG-13,tt5723720,529493,83.0,[[]],0,0
Alien Code,2017-04-23,PG,tt5453522,529358,97.0,"[['Mystery', 'Science Fiction', 'Thriller']]",0,0
Glorious,2016-01-01,PG-13,tt5093668,529236,96.0,"[['Crime', 'Drama']]",0,0
Lenny,2018-01-23,PG,tt7860564,529161,,[['Documentary']],0,0
Affairs of State,2018-06-15,R,tt4180556,528998,97.0,"[['Drama', 'Thriller', 'Romance']]",0,0
Assimilate,2019-05-24,PG-13,tt5238904,528985,93.0,"[['Science Fiction', 'Thriller', 'Horror']]",0,0
Dolemite Is My Name,2019-10-04,R,tt8526872,528888,118.0,"[['Drama', 'Comedy', 'History']]",0,0
Mountain Top,2017-02-10,PG,tt3305388,528755,102.0,"[['Drama', 'Family', 'Mystery']]",750000,0
RX: Early Detection - A Cancer Journey with Sandra Lee,2018-01-21,PG,tt7879414,528580,39.0,[['Documentary']],0,0
George Michael's Lonely Life,2018-06-03,PG,tt0586563,527922,120.0,[['Documentary']],0,0
Shy Of Midnight,2018-05-12,R,tt8294818,527889,10.0,"[['Crime', 'Drama', 'Romance']]",0,0
Hurley,2019-03-26,PG,tt7594134,527883,82.0,[['Documentary']],0,0
Overcomer,2019-08-22,PG,tt8186318,527776,119.0,[['Drama']],0,0
Bill Thompson,2017-09-27,R,,527760,85.0,[['Comedy']],0,0
"Yes, God, Yes",2019-03-08,R,tt8949056,527660,78.0,[['Comedy']],0,0
The Murder of Nicole Brown Simpson,2020-01-10,R,tt8415352,527534,86.0,"[['Thriller', 'Drama', 'Crime']]",0,0
The Christmas Chronicles,2018-11-22,PG,tt2990140,527435,104.0,"[['Comedy', 'Adventure', 'Family', 'Fantasy']]",0,0
After the Wedding,2019-08-09,PG-13,tt7985692,527385,110.0,[['Drama']],0,0
The Sweet Algorithm,2011-01-01,PG-13,,526998,2.0,"[['Drama', 'Romance']]",0,0
Food As Medicine,2016-01-01,PG,tt5968588,526501,87.0,[['Documentary']],0,0
A Man For Every Month,2017-11-16,PG,tt6604438,526266,83.0,"[['Romance', 'Family', 'TV Movie']]",0,0
Lyco,2018-04-01,R,,526196,83.0,[['Horror']],0,0
The Night Clerk,2020-02-19,R,tt7979142,526007,90.0,"[['Crime', 'Drama', 'Thriller']]",0,0
Troop Zero,2019-02-01,PG,tt2404465,525946,94.0,"[['Comedy', 'Drama', 'Family']]",0,0
Intricate Vengeance,2016-04-05,PG-13,tt5357206,525824,12.0,"[['Drama', 'Crime', 'Thriller']]",20000,0
Daughter of the Wolf,2019-06-14,R,tt7615052,525657,88.0,"[['Action', 'Thriller']]",7000000,0
Welcome Home,2018-11-16,R,tt6829180,525460,97.0,"[['Thriller', 'Horror']]",0,0
Love at First Dance,2018-06-16,G,tt8430044,525456,84.0,"[['Romance', 'TV Movie']]",0,0
Paws P.I.,2018-05-29,PG,tt8064262,525208,86.0,[['Family']],0,0
Paddleton,2019-02-22,R,tt8041276,525183,89.0,[['Drama']],0,0
Gamechangers: Dreams of BlizzCon,2018-06-12,PG,tt7945360,525081,90.0,[['Documentary']],0,0
Harry & Meghan: Royal Rebels,2018-05-13,PG,tt8431378,525058,,[['Documentary']],0,0
A Christmas Prince: The Royal Wedding,2018-11-30,PG,tt8709036,525041,92.0,"[['Romance', 'Comedy']]",0,0
Bhutan: The Snowman's Trek,2018-05-17,PG-13,tt5802168,525004,105.0,[['Documentary']],0,0
Here's Brother Brigham,2017-03-01,PG,,524873,85.0,[[]],0,0
Crown Vic,2019-11-08,R,tt4558200,524659,110.0,"[['Action', 'Crime', 'Drama', 'Thriller']]",3600000,0
Fatal Pulse,2018-05-31,R,tt4643048,524423,115.0,[['Thriller']],0,0
Me Farting on Command,2013-01-01,PG-13,,524384,2.0,[['Documentary']],0,0
The Report,2019-09-12,R,tt8236336,524348,118.0,"[['Drama', 'Thriller']]",0,0
Big Kill,2018-10-19,R,tt7730102,524124,126.0,"[['Action', 'Western']]",0,0
.,2018-05-13,R,,524064,9.0,[['Drama']],0,0
Greenland,2020-07-29,PG-13,tt7737786,524047,119.0,"[['Action', 'Science Fiction', 'Thriller']]",0,0
Summerland,2020-07-24,PG,tt6841122,523977,100.0,"[['Drama', 'War']]",0,0
Papa,2018-06-14,R,tt4843750,523926,,[['Drama']],2500000,0
Words on Bathroom Walls,2020-08-07,PG-13,tt8045906,523781,0.0,[[]],0,0
Next Gen,2018-09-07,PG,tt7133686,523777,105.0,"[['Action', 'Adventure', 'Animation', 'Family']]",22000000,0
Little Italy,2018-08-24,PG,tt6957966,523773,102.0,"[['Comedy', 'Romance']]",0,0
The Legend of Hallowaiian,2018-10-18,PG,tt7615722,523604,82.0,"[['Animation', 'Action', 'Adventure', 'Family']]",0,0
The Queen of Sin,2018-05-09,R,tt7405940,523354,90.0,"[['Thriller', 'TV Movie']]",0,0
Petra: Lost City of the Desert,2017-08-16,G,tt7289404,523336,50.0,[['Documentary']],0,0
Running with the Devil,2019-08-29,R,tt5792656,523077,100.0,"[['Thriller', 'Drama', 'Crime']]",0,0
Manou the Swift,2019-01-25,G,tt4153828,522887,88.0,"[['Animation', 'Adventure', 'Family', 'Comedy']]",0,0
The Real Princess Diaries: From Diana to Meghan,2018-05-07,PG,,522825,60.0,[['Documentary']],0,0
Sk8r Grrl,2020-11-22,PG-13,tt2705972,522772,90.0,[['Fantasy']],0,0
The Scorpion King: Book of Souls,2018-10-23,PG-13,tt7338690,522417,102.0,"[['Adventure', 'Action', 'Fantasy']]",0,0
The Manor,2018-05-15,R,tt5989336,522282,87.0,[['Horror']],0,0
Active Measures,2018-04-30,PG-13,tt8135494,521862,112.0,[['Documentary']],0,0
Followed,2020-06-26,R,tt5563782,521531,96.0,"[['Horror', 'Mystery', 'Thriller']]",0,0
A Dangerous Date,2018-04-14,PG-13,tt4117338,521224,82.0,"[['Thriller', 'TV Movie']]",2500000,0
The Beach House,2018-04-28,G,tt7598968,521190,90.0,"[['TV Movie', 'Romance', 'Drama']]",0,0
God Code,2018-04-08,PG,tt9663636,521171,120.0,[['Documentary']],0,0
One for the Road,2018-12-01,R,tt6582632,521040,,"[['Horror', 'Fantasy']]",50000,0
The Secret Garden,2020-07-08,PG,tt2702920,521034,99.0,"[['Drama', 'Fantasy', 'Family']]",0,0
Tone-Deaf,2019-03-10,R,tt8332666,520905,87.0,"[['Horror', 'Thriller', 'Comedy']]",0,0
Doom: Annihilation,2019-09-30,R,tt8328716,520901,97.0,"[['Action', 'Science Fiction', 'Horror', 'Mystery']]",0,0
The Personal History of David Copperfield,2019-11-07,PG,tt6439020,520900,119.0,"[['Drama', 'Comedy']]",15600000,0
Kim Possible,2019-02-15,PG,tt7979492,520720,86.0,"[['Family', 'Action', 'Adventure', 'Comedy', 'TV Movie']]",0,0
Her Smell,2018-09-09,R,tt7942742,520679,135.0,"[['Drama', 'Music']]",0,0
Sioux Rapids,2017-01-11,,tt8268024,520627,,[['Drama']],0,0
Fame in California,2012-02-01,,tt2808962,520616,16.0,[['Drama']],0,0
Park City,2011-08-21,G,tt2290904,520613,21.0,[['Drama']],0,0
Blue Boy,2011-06-08,,tt2808964,520599,50.0,[['Drama']],0,0
The Oath,2018-10-12,R,tt7461200,520596,93.0,[['Comedy']],0,0
The Love Club,2011-04-12,G,tt2290902,520590,12.0,[['Drama']],0,0
Lake Placid: Legacy,2018-05-28,R,tt7875948,520466,90.0,"[['Horror', 'Action', 'Science Fiction', 'TV Movie']]",0,0
Into the Okavango,2018-04-22,PG,tt7573844,520446,94.0,[['Documentary']],0,0
Blue Note Records: Beyond the Notes,2019-06-14,G,tt6106822,520364,85.0,"[['Documentary', 'Music']]",0,0
King of Thieves,2018-09-04,R,tt5789976,520360,108.0,"[['Crime', 'Drama']]",0,0
Fatima,2020-08-13,PG-13,tt2197936,520318,113.0,"[['Drama', 'Family']]",0,0
Driven,2018-09-08,R,tt5592796,520016,113.0,"[['Thriller', 'History']]",0,0
Autumn of Isabelle,2018-10-10,R,,519775,,"[['Drama', 'Thriller']]",0,0
Nancy Drew and the Hidden Staircase,2019-03-15,PG,tt8323104,519473,89.0,"[['Crime', 'Family', 'Comedy', 'Drama', 'Mystery']]",0,0
FANG,2018-04-10,R,tt6148864,519027,74.0,[['Horror']],0,0
Chasing Pluto,2015-07-15,G,tt4689264,519015,,[['Documentary']],0,0
Like Father,2018-08-03,R,tt7170950,518452,103.0,"[['Comedy', 'Drama']]",0,0
Bar Wrestling 5: This Is Halloween,2017-12-10,PG,tt9585262,518357,120.0,"[['Drama', 'Action']]",0,0
Leprechaun Returns,2018-12-11,R,tt8155182,518158,92.0,"[['Horror', 'Fantasy', 'Comedy', 'TV Movie']]",0,0
Inifinite Gift,2015-11-01,G,,518063,60.0,[['Family']],0,0
Paranormal Demons,2018-03-28,PG-13,tt3894958,517939,96.0,"[['Horror', 'Thriller']]",0,0
The Laundromat,2019-09-27,R,tt5865326,517909,96.0,"[['Drama', 'Crime', 'Comedy']]",0,0
Kevin Smith: Silent but Deadly,2018-05-11,R,tt8102036,517792,57.0,"[['Comedy', 'Documentary']]",0,0
Battles,2013-11-28,PG,tt2301566,517607,12.0,"[['Drama', 'Music']]",0,0
Adam Sandler: 100% Fresh,2018-10-23,R,tt9036126,517596,73.0,"[['Comedy', 'TV Movie', 'Music']]",0,0
Black Girl As A Landscape,2010-01-01,G,,517474,10.0,[[]],0,0
American Exit,2019-05-14,PG-13,tt6021482,517434,86.0,[['Drama']],0,0
Imbroglio,2017-10-12,R,tt6853694,517420,15.0,"[['Action', 'Thriller', 'Crime', 'Drama']]",0,0
Tesla,2020-08-20,PG-13,tt5259822,517412,96.0,"[['History', 'Drama']]",5000000,0
Disaster Capitalism,2018-02-22,PG,tt8009976,517312,52.0,[['Documentary']],0,0
The Axiom,2019-05-09,R,tt6051096,517166,98.0,[['Horror']],0,0
The Accidental Missionary,2015-11-18,PG,tt2373132,517127,103.0,[[]],0,0
Haunt,2019-09-13,R,tt6535880,517116,92.0,"[['Horror', 'Thriller']]",0,0
The Time Capsule,2018-04-07,G,tt5886380,517055,86.0,"[['Romance', 'TV Movie']]",0,0
The Campus,2018-01-26,R,tt6772946,517015,84.0,[['Horror']],0,0
Once Upon a Prince,2018-04-07,G,tt8250512,516846,120.0,"[['Romance', 'TV Movie']]",0,0
Cybergeddon,2012-09-25,PG-13,tt2189240,516783,89.0,[['Thriller']],0,0
Generations of Freeskiing,2017-01-27,PG-13,tt6875816,516669,30.0,[['Documentary']],0,0
Greyhound,2020-07-10,PG-13,tt6048922,516486,91.0,"[['War', 'Action', 'Drama']]",50300000,0
Antlers,2021-02-18,R,tt7740510,516329,99.0,"[['Horror', 'Mystery']]",0,0
Killer Looks,2017-10-15,PG-13,,516035,15.0,"[['Comedy', 'Horror']]",0,0
The Crystal Crypt,2013-12-05,PG-13,tt3350850,515996,28.0,[['Science Fiction']],25000,0
Symphony for Our World,2018-04-22,PG,,515758,55.0,[['Music']],0,0
Semper Fi,2019-10-04,R,tt7042838,515724,100.0,"[['Drama', 'Action']]",0,0
Yue Tu,2018-03-20,G,tt8215064,515721,10.0,[['Animation']],0,0
Reap What You Sew: An Aurora Teagarden Mystery,2018-04-15,G,tt8116002,515696,84.0,"[['Mystery', 'Crime', 'Drama']]",0,0
You Can Go,2016-09-29,PG,tt5039722,515685,9.0,"[['Drama', 'Thriller']]",0,0
Compulsion,2018-03-24,R,tt6839686,515581,17.0,"[['Horror', 'Thriller', 'Mystery']]",0,0
Amateur,2018-04-06,R,tt5580392,515333,96.0,[['Drama']],0,0
Murder Mystery,2019-05-25,PG-13,tt1618434,514999,97.0,"[['Comedy', 'Crime', 'Mystery', 'Action']]",24000000,0
The Aeronauts,2019-11-04,PG-13,tt6141246,514921,101.0,"[['Adventure', 'Drama', 'Romance']]",40000000,0
Gone Are the Days,2018-03-16,R,tt5503472,514759,99.0,[['Western']],0,0
Bao,2018-06-15,G,tt8075496,514754,8.0,"[['Animation', 'Family', 'Fantasy']]",0,0
Gnarly in Pink,2014-04-19,G,tt3433264,514615,9.0,[[]],0,0
You Should Have Left,2020-06-19,R,tt8201852,514593,93.0,"[['Horror', 'Mystery']]",0,0
To Dust,2019-02-08,R,tt7117594,514510,105.0,[['Drama']],0,0
Breakthrough,2019-04-10,PG,tt7083526,514439,116.0,[['Drama']],0,0
Indivisible,2018-10-26,PG-13,tt6512428,514407,119.0,"[['Drama', 'War']]",0,0
Always Be My Maybe,2019-05-31,PG-13,tt7374948,513576,101.0,"[['Romance', 'Comedy']]",0,0
Earthquake Bird,2019-11-01,R,tt8178486,513409,107.0,"[['Drama', 'Mystery', 'Romance', 'Thriller']]",0,0
My Name Is Myeisha,2018-01-21,R,tt6910380,513380,85.0,[['Drama']],0,0
Higher Power,2018-05-11,R,tt2924392,513324,95.0,"[['Action', 'Science Fiction', 'Thriller']]",0,0
Home by Spring,2018-03-31,G,tt8025296,513296,90.0,"[['Drama', 'Romance', 'TV Movie']]",0,0
Trouble Is My Business,2018-04-03,PG,tt2243900,513285,116.0,"[['Adventure', 'Mystery', 'Romance', 'Thriller']]",200000,0
Body Cam,2020-05-19,R,tt8179024,513268,96.0,"[['Horror', 'Thriller', 'Mystery']]",0,0
The Etruscan Smile,2019-11-01,R,tt5459382,513243,103.0,[['Drama']],0,0
Wine Country,2019-05-08,R,tt8169446,513083,103.0,[['Comedy']],0,0
Shark Fights 13: Jardine vs Prangley,2010-09-11,R,,512958,,[[]],0,0
4/20 Massacre,2018-04-03,NC-17,tt5946668,512936,85.0,"[['Horror', 'Action']]",0,0
Lady and the Tramp,2019-11-12,PG,tt8096832,512895,104.0,"[['Romance', 'Comedy', 'Family']]",0,0
"Enchantimals, Finding Home",2017-11-17,G,tt7575284,512756,0.0,"[['Animation', 'Family']]",0,0
Dream,2016-10-13,PG,tt6863378,512610,3.0,"[['Animation', 'Drama', 'Music']]",0,0
Trico Tri Happy Halloween,2018-09-28,PG-13,tt7830428,512584,0.0,"[['Family', 'Horror', 'Comedy']]",0,0
Backtrace,2018-12-14,R,tt3588588,512412,87.0,"[['Crime', 'Thriller']]",0,0
Ice Dragon: Legend of the Blue Daisies,2018-03-24,G,tt8111636,512404,100.0,"[['Animation', 'Adventure', 'Family', 'Fantasy']]",0,0
Anne,2019-03-07,R,tt6342062,512064,80.0,[['Horror']],0,0
A Louisiana: A French Renaissance,2018-03-15,G,,512046,45.0,[['Documentary']],0,0
Battling the Yakuza,2012-08-18,PG-13,tt3705778,511840,25.0,"[['Documentary', 'Crime']]",0,0
I Hate Kids,2019-01-18,PG-13,tt5969180,511789,89.0,[['Comedy']],0,0
Idle Thoughts,2018-03-14,PG-13,tt6032718,511751,100.0,"[['Comedy', 'Drama', 'Romance']]",0,0
Say Her Name: The Life and Death of Sandra Bland,2018-04-25,R,tt8106584,511689,105.0,"[['Documentary', 'TV Movie']]",0,0
Seconds From Disaster: 9/11,2011-09-09,PG-13,tt2081945,511666,60.0,"[['Documentary', 'History']]",0,0
To the Beat,2018-03-13,PG,tt6237314,511562,96.0,"[['Comedy', 'Drama', 'Family']]",0,0
The Sweetest Heart,2018-03-17,G,tt8115218,511022,90.0,"[['Romance', 'TV Movie']]",0,0
Bird Karma,2018-11-09,G,tt7674192,510738,5.0,"[['Animation', 'Comedy']]",0,0
Inside The Mob's Bloody Valentine,2011-01-01,PG,tt8119234,510653,45.0,"[['Documentary', 'Crime', 'History', 'TV Movie']]",0,0
Villains,2019-09-20,R,tt6378710,510388,89.0,"[['Comedy', 'Horror', 'Drama']]",0,0
The Swan Princess: A Royal Myztery,2018-03-27,PG,tt7966994,510096,79.0,"[['Family', 'Animation', 'Adventure', 'Comedy']]",0,0
Baja,2018-04-01,PG-13,tt6701492,510095,106.0,[['Comedy']],0,0
Maine,2018-12-13,R,tt7316358,510041,86.0,[['Drama']],0,0
Bethany Hamilton: Unstoppable,2019-07-12,PG,tt6435258,510026,99.0,[['Documentary']],0,0
6 Underground,2019-12-13,R,tt8106534,509967,127.0,"[['Action', 'Thriller']]",150000000,0
Lying and Stealing,2019-07-12,R,tt7558302,509874,100.0,"[['Crime', 'Comedy']]",3000000,0
The Fanatic,2019-08-30,R,tt7869070,509853,88.0,"[['Thriller', 'Crime']]",0,0
Case 137,2018-08-18,R,tt6590982,509783,70.0,[['Drama']],0,0
7500,2019-12-26,R,tt6436726,509585,93.0,"[['Thriller', 'Drama']]",0,0
Bad Tutor,2018-03-03,PG-13,tt8029682,509563,101.0,"[['Thriller', 'TV Movie']]",0,0
40 Nights,2016-06-07,PG,tt4473806,509370,88.0,"[['Drama', 'Family']]",0,0
Klaus,2019-11-08,PG,tt4729430,508965,96.0,"[['Animation', 'Family', 'Adventure', 'Comedy']]",0,0
Ricky Gervais: Humanity,2018-03-13,R,tt7830574,508933,79.0,[['Comedy']],0,0
Trek: The Movie,2018-04-06,PG,tt7751192,508834,102.0,"[['Comedy', 'Drama', 'Family']]",0,0
Penguins,2019-04-17,G,tt8080302,508802,76.0,"[['Documentary', 'Family']]",0,0
Soul,2020-11-19,PG,tt2948372,508442,90.0,"[['Animation', 'Comedy', 'Adventure', 'Family', 'Music', 'Fantasy']]",0,0
Burn,2019-08-23,R,tt8009314,508138,89.0,[['Thriller']],0,0
Getting Grace,2018-03-23,PG-13,tt5711672,507527,112.0,[[]],0,0
OneRepublic: Live in South Africa,2018-02-23,PG,,507272,86.0,[[]],0,0
Candy Jar,2018-04-27,PG-13,tt6744044,507143,92.0,[['Comedy']],0,0
Going for Gold,2018-03-08,G,tt7104578,506951,89.0,"[['Drama', 'Family']]",0,0
Bolden,2019-05-03,R,tt0858419,506876,108.0,"[['Drama', 'Music']]",0,0
Before Anythang: The Cash Money Story,2017-02-16,PG-13,,506796,75.0,[['Documentary']],0,0
Nekrotronic,2018-10-01,R,tt7453418,506775,99.0,"[['Comedy', 'Horror', 'Science Fiction']]",0,0
Unbroken: Path to Redemption,2018-09-14,PG-13,tt7339792,506680,98.0,[['Drama']],0,0
Ploey: You Never Fly Alone,2018-04-12,G,tt2766104,506596,83.0,"[['Animation', 'Family']]",0,0
Descendants 3,2019-08-09,G,tt8022928,506574,106.0,"[['Family', 'TV Movie', 'Music', 'Adventure']]",0,0
Harriet,2019-11-01,PG-13,tt4648786,506528,125.0,"[['History', 'Drama']]",0,0
Social Animals,2018-06-01,R,tt5639898,506407,90.0,"[['Comedy', 'Romance']]",0,0
Submission,2019-09-19,R,tt4824256,506403,94.0,[['Drama']],0,0
Prospect,2018-10-02,PG-13,tt7946422,506072,98.0,[['Science Fiction']],0,0
Surfer: Teen Confronts Fear,2018-02-16,PG,tt8027286,506071,98.0,[['Drama']],0,0
Storm Boy,2019-01-17,PG,tt3340446,505953,99.0,"[['Drama', 'Adventure']]",0,0
I Am Mother,2019-06-07,PG-13,tt6292852,505948,114.0,[['Science Fiction']],0,0
Freaky Friday,2018-08-10,G,tt7631348,505904,90.0,"[['Music', 'Family', 'Fantasy', 'TV Movie', 'Comedy']]",0,0
My Little Pony: Equestria Girls - Forgotten Friendship,2018-02-17,G,tt7869818,505832,44.0,"[['Animation', 'Family', 'Fantasy']]",0,0
Royal Hearts,2018-02-24,G,tt8060978,505723,84.0,"[['TV Movie', 'Romance']]",0,0
Making a Killing,2018-08-10,R,tt6116568,505476,106.0,"[['Mystery', 'Crime', 'Drama']]",0,0
Blink,2018-03-02,R,tt6544524,505464,98.0,[['Drama']],40000,0
The Escape of Prisoner 614,2018-04-27,PG-13,tt7375578,505418,97.0,"[['Adventure', 'Comedy', 'Crime']]",0,0
Hens Night,2018-02-14,R,tt5176648,505236,88.0,"[['Comedy', 'Drama', 'Horror']]",0,0
The Last Thing He Wanted,2020-02-14,R,tt7456312,505225,116.0,"[['Drama', 'Thriller']]",0,0
10 x 10,2018-04-13,R,tt6210996,505177,86.0,[['Thriller']],0,0
The King,2019-10-11,R,tt7984766,504949,140.0,"[['Drama', 'History', 'War']]",0,0
The Redeemed and the Dominant: Fittest on Earth,2018-03-23,NC-17,tt8144778,504769,119.0,[['Documentary']],0,0
A Taboo Identity,2017-08-01,NC-17,tt6944816,504685,64.0,[['Documentary']],125000,0
Ready Jet Go! Back to Bortron 7,2017-08-14,G,tt7274370,504613,60.0,"[['Animation', 'Family', 'Music', 'Science Fiction', 'TV Movie']]",0,0
Donnybrook,2019-02-15,R,tt7087210,504599,101.0,"[['Drama', 'Crime']]",0,0
Behind the Movement,2018-11-15,PG,tt7525942,504590,79.0,"[['Drama', 'TV Movie']]",0,0
A Dog and Pony Show,2018-01-23,PG,tt3783510,504295,98.0,"[['Comedy', 'Family']]",0,0
Caroline,2018-03-11,PG,tt7352856,504263,12.0,[['Drama']],0,0
Hybristophilia,2018-07-04,R,tt5840434,504145,0.0,[['Horror']],0,0
Most Likely to Murder,2018-03-12,R,tt6566830,503758,99.0,[['Comedy']],0,0
What Keeps You Alive,2018-01-04,R,tt7073710,503752,99.0,[['Thriller']],0,0
The Haunting of Sharon Tate,2019-04-05,R,tt7976208,503706,94.0,"[['Horror', 'Thriller']]",0,0
The Package,2018-08-10,R,tt7525778,503619,94.0,[['Comedy']],0,0
Painted Woman,2017-11-10,G,tt6281242,503437,108.0,[['Western']],0,0
Relentless,2018-02-06,NC-17,tt3486210,503420,95.0,[['Thriller']],0,0
My Perfect Romance,2018-02-14,PG-13,tt7358936,503403,0.0,[['Romance']],0,0
Occupation,2018-07-12,R,tt6774786,503346,119.0,"[['Action', 'Science Fiction', 'Drama']]",6000000,0
Surviving The Wild,2018-01-05,PG-13,tt6212378,503267,87.0,"[['Action', 'Adventure', 'Family']]",0,0
Secrets of the Andean Temples: On the Trail of Viracocha,2017-01-01,G,,503149,46.0,[['Documentary']],0,0
The Wedding Do Over,2018-02-03,G,tt5971394,502970,90.0,"[['TV Movie', 'Romance']]",0,0
Furlough,2018-03-16,R,tt5291792,502426,84.0,[['Comedy']],0,0
Escape From Pretoria,2020-03-06,PG-13,tt5797184,502425,102.0,"[['Drama', 'History', 'Thriller']]",0,0
A Wizard's Tale,2018-03-01,PG,tt6494344,502259,97.0,"[['Comedy', 'Animation', 'Adventure', 'Family', 'Fantasy']]",0,0
Aghora: The Deadliest Blackmagic,2018-03-01,R,tt7865612,502185,90.0,"[['Science Fiction', 'Horror', 'Thriller']]",400000,0
All Square,2018-10-12,,tt6927880,502141,94.0,"[['Comedy', 'Drama']]",0,0
Bill & Ted Face the Music,2020-08-27,PG-13,tt1086064,501979,78.0,"[['Comedy', 'Science Fiction', 'Adventure']]",25000000,0
The Croodaceous Creatures of 'Croods',2013-03-22,PG,,501861,7.0,[['Animation']],0,0
True History of the Kelly Gang,2020-01-09,R,tt4844140,501395,124.0,"[['Drama', 'Crime']]",0,0
The Dog,2017-11-01,G,,501314,17.0,[['Animation']],0,0
Between Worlds,2018-12-21,R,tt7295450,500921,90.0,"[['Action', 'Mystery', 'Thriller', 'Science Fiction']]",0,0
211,2018-06-01,R,tt4976192,500919,86.0,"[['Action', 'Drama', 'Crime']]",0,0
A Vigilante,2018-03-10,R,tt6211976,500904,92.0,"[['Thriller', 'Drama']]",0,0
Viper Club,2018-10-26,R,tt6388074,500869,109.0,"[['Thriller', 'Drama']]",0,0
Late Afternoon,2019-02-08,PG,tt7077824,500688,10.0,"[['Animation', 'Drama']]",0,0
The Highwaymen,2019-03-15,R,tt1860242,500682,133.0,"[['Crime', 'Drama', 'Thriller']]",49000000,0
Ryuichi Sakamoto: async Live at the Park Avenue Armory,2018-02-21,G,tt7535794,500654,65.0,"[['Documentary', 'Music']]",0,0
Spare Time Killers,2012-04-01,PG-13,tt2014349,500336,85.0,"[['Action', 'Thriller']]",0,0
Dead Men,2018-01-02,PG-13,tt2226440,500321,180.0,"[['Drama', 'Western', 'Action']]",0,0
Eddie Griffin: Undeniable,2018-02-09,PG,tt7842288,500246,74.0,[['Comedy']],0,0
The Simone Biles Story: Courage to Soar,2018-02-03,PG,tt7978660,500244,76.0,"[['Documentary', 'History']]",0,0
The Devil All the Time,2020-09-16,R,tt7395114,499932,138.0,"[['Drama', 'Thriller', 'Crime']]",0,0
Bellator 192: Lima Vs. Macdonald,2018-01-20,R,,499850,,[[]],0,0
The First Secret City,2015-11-15,PG,tt5207846,499683,105.0,[['Documentary']],0,0
Brimming with Love,2018-05-05,G,tt5864236,499635,90.0,"[['TV Movie', 'Family', 'Romance']]",0,0
Bucky and the Squirrels,2018-01-26,PG,tt3126876,499591,82.0,[['Comedy']],1275000,0
Sweet Sweet Summertime,2017-06-01,PG,tt3948080,499576,90.0,[['Family']],0,0
A Million Little Pieces,2019-08-30,R,tt0427543,499566,113.0,[['Drama']],0,0
Misled,2015-02-28,R,tt2343655,499301,90.0,"[['Crime', 'Drama']]",0,0
Skeleton Cop,2018-04-01,R,tt6430436,499189,,[[]],1000,0
Maya the Bee: The Honey Games,2018-02-02,G,tt6685596,499088,85.0,"[['Comedy', 'Family', 'Animation', 'Adventure']]",0,0
Never Grow Old,2019-03-15,R,tt1158939,498743,101.0,[['Western']],12000000,0
Batman's Greatest Cases: Featuring the Rainbow Batman,2015-01-01,G,,498483,23.0,[[]],0,0
M Is for Matchmaker,2014-10-10,R,tt3263268,498315,,[['Horror']],0,0
"Sex, Lies and the Taj Mahal",2017-08-22,PG,tt7234198,497880,,"[['History', 'Documentary']]",0,0
Treasures of the Terracotta Army,2017-07-19,PG,tt7187846,497879,,[['Documentary']],0,0
Best F(r)iends: Volume 2,2018-06-01,R,tt7694738,497796,93.0,"[['Action', 'Comedy', 'Thriller']]",0,0
Change in the Air,2018-10-19,PG,tt5013782,497622,94.0,[['Drama']],0,0
Chinese Chariots Revealed,2017-05-17,PG,tt6814954,497528,,[['Documentary']],0,0
Tom Segura: Disgraceful,2018-01-12,PG-13,tt7379330,497520,74.0,[['Comedy']],0,0
Secrets of the Forbidden City,2017-10-18,G,tt7570916,497517,,[['Documentary']],0,0
Hey Deer!,2015-08-01,G,tt5076412,497324,6.0,[['Animation']],845,0
Tim Cahill: The Unseen Journey,2010-04-03,PG-13,tt1630283,496937,92.0,[['Documentary']],0,0
A Christmas Blessing,2013-12-07,G,,496896,0.0,[[]],0,0
